stimulus_id,drift_detected,best_match_id,assigned_wer,best_neighbor_wer
1,False,1,0.0,0.0
2,False,2,0.0,0.0
3,False,3,0.2,0.2
4,False,4,1.0,1.0
5,False,5,0.5,0.5
6,False,6,0.1667,0.1667
7,False,7,0.75,0.75
8,False,8,0.0,0.0
9,False,9,0.0,0.0
10,False,10,0.0,0.0
11,False,11,0.6667,0.6667
12,False,12,0.125,0.125
13,False,13,0.4444,0.4444
14,False,14,0.4286,0.4286
15,False,15,0.375,0.375
16,False,16,0.6667,0.6667
17,False,17,0.6667,0.6667
18,False,18,0.5714,0.5714
19,False,19,0.5556,0.5556
20,False,20,0.0909,0.0909
21,False,21,0.2,0.2
22,False,22,0.4,0.4
23,False,23,0.6,0.6
24,False,24,0.625,0.625
25,False,25,0.3,0.3
26,False,26,0.6667,0.6667
27,False,27,0.0909,0.0909
28,False,28,0.6,0.6
29,False,29,0.75,0.75
30,False,30,0.2,0.2
